# tiempo	mean_var1	std_var1	mean_var2	std_var2	mean_var3	std_var3	mean_var4	std_var4	mean_var5	std_var5	mean_var6	std_var6	mean_var7	std_var7	mean_var8	std_var8	mean_var9	std_var9	mean_var10	std_var10	mean_var11	std_var11
525	0.832041	0.002841	0.535822	0.006551	0.290567	0.006540	0.134259	0.007749	0.059703	0.005030	0.014217	0.003110	0.001929	0.003318	-0.000887	0.004804	-0.000367	0.003839	-0.002932	0.001404	0.001813	0.002958
526	0.831076	0.002278	0.533680	0.005891	0.288715	0.007256	0.135455	0.006695	0.056674	0.004233	0.021586	0.001216	0.005536	0.003940	-0.001910	0.002387	0.000463	0.002707	-0.001466	0.002199	-0.000174	0.002617
527	0.827450	0.001562	0.528550	0.003948	0.279861	0.005250	0.128048	0.005264	0.053665	0.001240	0.021856	0.000621	0.007967	0.002437	0.004244	0.003294	0.000598	0.003094	0.000405	0.002906	-0.000810	0.002421
528	0.827392	0.001583	0.527643	0.003001	0.282292	0.006053	0.127450	0.005388	0.051890	0.002571	0.017824	0.002425	0.007948	0.002951	0.005189	0.002533	0.001389	0.002667	-0.001196	0.002189	-0.001051	0.001586
529	0.826582	0.002531	0.527758	0.005516	0.279958	0.006814	0.130845	0.005161	0.052527	0.001874	0.018731	0.001017	0.008526	0.003351	0.006732	0.003191	0.002199	0.002078	0.000367	0.001165	-0.002604	0.001735
530	0.825926	0.002895	0.523264	0.008155	0.277932	0.008906	0.124730	0.006634	0.050155	0.003841	0.021026	0.003087	0.008102	0.002818	0.003222	0.003334	0.000637	0.002473	0.001871	0.002058	-0.001022	0.001269
531	0.826563	0.002724	0.524904	0.007597	0.280016	0.007733	0.125752	0.004217	0.045563	0.002470	0.018692	0.003002	0.004938	0.003177	-0.000984	0.001536	0.000309	0.003184	0.000212	0.001067	-0.001013	0.001327
532	0.831173	0.003210	0.534780	0.008837	0.291513	0.008495	0.133970	0.004665	0.058044	0.004258	0.015953	0.003193	0.008237	0.004694	0.005228	0.004079	-0.002218	0.001156	-0.001485	0.000930	0.000444	0.001523
533	0.833063	0.003143	0.535339	0.008313	0.291918	0.010394	0.134124	0.007801	0.053877	0.005351	0.021470	0.002212	0.006848	0.001484	0.002276	0.001292	0.000328	0.003490	0.002797	0.002285	0.001331	0.002649
534	0.833353	0.002521	0.540606	0.008789	0.292882	0.011144	0.134992	0.009254	0.052874	0.004803	0.020390	0.002259	0.006848	0.002582	0.001177	0.002053	0.005363	0.000981	0.003916	0.000589	0.001418	0.001219
